secs,nsecs,latitude,longitude,altitude
1453942995,12249237,40.761978083,-73.97938471,101.823
1453942995,14146233,40.761978083,-73.97938471,101.823
1453942996,31147902,40.762019353,-73.979373254,101.916
1453942996,33070247,40.762019353,-73.979373254,101.916
1453942997,42224257,40.762056663,-73.979361607,102.059
1453942997,43975561,40.762056663,-73.979361607,102.059
1453942997,998238726,40.762089479,-73.979354667,101.59
1453942997,999983949,40.762089479,-73.979354667,101.59
1453942999,2130228,40.762124282,-73.979338327,100.993
1453942999,4047431,40.762124282,-73.979338327,100.993
1453943000,49102047,40.762149108,-73.979336456,100.075
1453943000,51053552,40.762149108,-73.979336456,100.075
